objectid,trail_name,surface_cat,use_cat,segment_length_miles,trail_width
40427,Fort Walla Walla Trail,Native/Dirt,Hiking/Walking,0.0584770297612345,11
40428,Fort Walla Walla Trail,Native/Dirt,Hiking/Walking,0.214539032016307,11
40429,Fort Walla Walla Trail,Native/Dirt,Hiking/Walking,0.109626122785822,11
40430,Fort Walla Walla Trail,Native/Dirt,Hiking/Walking,0.13145478001271,11
40431,Fort Walla Walla Trail,Native/Dirt,Hiking/Walking,0.0234062079394186,11
40498,BMX Track,Native/Dirt,Hiking/Walking,0.0483129327611666,16
40507,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.426024212675319,22
40508,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.225861327559987,22
40509,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.844280488437926,22
40510,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.714757137454281,22
40518,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.625322139125996,22
40523,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.0484703103417253,22
40524,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.664664177202375,22
40528,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.0355750421373342,3
40531,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.104531189665911,22
40544,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.121342456585242,14
40545,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.0930481617370735,14
40581,Kingfisher Trail,Native/Dirt,Hiking/Walking,0.77767472645637,10
40582,Mill Creek Recreation Trail,Native/Dirt,Hiking/Walking,0.181110085727042,13
40585,Fort Walla Walla Bike Trail,Paved,Biking,1.25124011911284,10
40606,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.313495356005431,14
40613,Whitetail Trail,Native/Dirt,Hiking/Walking,1.21064039713564,14
40662,Walla Walla Community College Trail,Native/Dirt,Hiking/Walking,0.136836373445385,10
40663,Walla Walla Community College Trail,Native/Dirt,Hiking/Walking,0.0699191093035557,10
40664,Walla Walla Community College Trail,Native/Dirt,Hiking/Walking,0.0747327632072313,10
40665,Walla Walla Community College Trail,Native/Dirt,Hiking/Walking,0.0806974401478704,10
40666,Walla Walla Community College Trail,Native/Dirt,Hiking/Walking,0.0320306322004821,10
40667,Walla Walla Community College Trail,Native/Dirt,Hiking/Walking,0.0335527977498083,10
40668,Walla Walla Community College Trail,Native/Dirt,Hiking/Walking,0.0384627100082053,10
40669,Walla Walla Community College Trail,Native/Dirt,Hiking/Walking,0.0243359999582686,10
40670,Walla Walla Community College Trail,Native/Dirt,Hiking/Walking,0.0447039100259669,10
40676,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.0699119268655236,3
40694,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.18796466068285,14
40700,Whitetail Trail,Native/Dirt,Hiking/Walking,0.384202352622758,14
40704,Whitetail Trail,Native/Dirt,Hiking/Walking,0.149046290287889,14
40706,Whitetail Trail,Native/Dirt,Hiking/Walking,0.413872506505749,14
40707,Whitetail Trail,Native/Dirt,Hiking/Walking,0.0441589328678377,3
40711,Whitetail Trail,Native/Dirt,Hiking/Walking,0.0221664015336707,3
40736,Myra Rd Trail,Native/Dirt,Hiking/Walking,0.0614308960204499,10
40737,Myra Rd Trail,Native/Dirt,Hiking/Walking,0.05541726805891,10
40740,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.0155379431378339,14
40750,Meadowlark Loop,Native/Dirt,Hiking/Walking,0.0823942157890613,3
40752,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.0833306068861478,14
40753,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.01559517044985,14
40754,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.0306936946133698,14
40767,Kingfisher Trail,Native/Dirt,Hiking/Walking,0.193905197157881,10
40769,Kingfisher Trail,Native/Dirt,Hiking/Walking,0.164185684648621,10
40771,Whitetail Trail,Native/Dirt,Hiking/Walking,0.0529883640257697,14
40772,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.0164866142228443,3
40776,Bennington Lake Trail,Native/Dirt,Hiking/Walking,0.254315307018231,16
40811,Walla Walla Community College Trail,Native/Dirt,Hiking/Walking,0.0250959663006373,10
40825,Whitetail Trail,Native/Dirt,Hiking/Walking,0.17538050325872,14
40827,Whitetail Trail,Native/Dirt,Hiking/Walking,0.011243012459953,14
40840,Umatilla Bridge,Paved,Biking,0.841642154733899,10
40843,Yakima River bike Path,Paved,Biking,1.9547929924117,10
40852,Sacajawea Heritage Trail,Paved,Biking,8.36589600823987,10
40855,State Trail,Paved,Biking,0.329792746653893,10
40864,Lee-Volpentest Bridge,Paved,Other/Multi,0.533825222673308,8
40865,Lee-Volpentest Bridge,Paved,Other/Multi,0.534442163912831,8
41551,Apple Capital Recreation Loop Trail,Paved,Hiking/Walking,4.38674887266649,10
41552,Apple Capital Recreation Loop Trail,Paved,Hiking/Walking,1.9502483508552,10
41553,Apple Capital Recreation Loop Trail,Paved,Hiking/Walking,5.48914845261549,10
41558,Douglas Creek Canyon,Native/Dirt,Hiking/Walking,0.047051541250349,10
41574,Douglas Creek Canyon,Native/Dirt,Hiking/Walking,2.7733865439117,10
41576,Douglas Creek Canyon,Native/Dirt,Hiking/Walking,0.0213041476197815,10
41592,Douglas Creek Canyon,Native/Dirt,Hiking/Walking,0.524679660726624,10
41631,Kirby Billingsley Hydro Park Trail,Paved,Hiking/Walking,0.135993598065875,8
41651,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.646354353170246,10
41652,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.421542661395697,10
41653,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0202390089052877,10
41654,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.431385415659475,10
41655,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.540053967154354,10
41656,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.842812277911419,10
41657,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,1.43297194296378,10
41658,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,1.24529430365296,10
41659,Douglas Creek Canyon Trail - North,Native/Dirt,Hiking/Walking,11.0771276380675,10
41660,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0580435616421164,10
41661,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.035231844107581,10
41662,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0306382349276677,10
41663,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0147935764709483,10
41664,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,1.01588719834484,10
41665,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0630642469783755,10
41666,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0548234872452503,10
41667,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.013335491891424101,10
41668,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0506964527842293,10
41669,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.056435465089024,10
41670,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0485991981425775,10
41671,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0362405103354774,10
41672,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.008089057437446,10
41673,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0114343463518885,10
41674,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0144696182130014,10
41675,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0578215242824876,10
41676,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0716567367604309,10
41677,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0190622413214943,10
41678,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0226589508702076,10
41679,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0188661255589173,10
41680,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0124351929972847,10
41681,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0071733866196873,10
41682,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0229919334255825,10
41683,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0047744280646021,10
41684,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.00654765410932198,10
41685,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.00303088313800067,10
41687,Lincoln Rock State Park Trail,Paved,Hiking/Walking,0.28795185914742,10
41688,Lincoln Rock State Park Trail,Paved,Hiking/Walking,0.0447055746303482,10
41689,Lincoln Rock State Park Trail,Paved,Hiking/Walking,0.0286323648266237,10
41717,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0430209021934341,10
41718,Douglas Creek Canyon Trail - South,Native/Dirt,Hiking/Walking,0.0308223463391733,10
42250,Progress Path,Paved,Biking,1.3084808303543,8
42720,141 Walking Path,Paved,Hiking/Walking,1.35856750721295,4
42721,141 Walking Path,Paved,Hiking/Walking,0.562626956704875,5
43636,Airport Rd,Paved,Hiking/Walking,0.217933047727647,10
43960,Scott Pierson Trail,Paved,Hiking/Walking,0.141997151555432,3
43961,Scott Pierson trail,Paved,Hiking/Walking,0.0905025601567704,8
43962,Foothills Trail,Paved,Hiking/Walking,0.0726534262156027,12
43963,Cheney stadium access to Scott Pierson trail,Paved,Hiking/Walking,0.0193236733687356,15
43964,Scott Pierson Trail,Paved,Hiking/Walking,0.12341784254317,6
43965,Riverwalk Trail,Paved,Hiking/Walking,2.77892561390019,10
43967,Scott Pierson trail,Paved,Hiking/Walking,0.252248297858472,13
43968,Scott Pierson Trail,Paved,Hiking/Walking,0.0226724052858634,13.5
43969,Tacoma Narrows Trail,Paved,Hiking/Walking,2.57510966613196,10
43970,Scott Pierson Trail,Paved,Hiking/Walking,1.23181520558906,15
43971,Scott Pierson trail,Paved,Hiking/Walking,0.19536316933839,14
43972,Scott Pierson Trail,Paved,Hiking/Walking,0.076394572631095,8
43973,Scott Pierson Trail,Paved,Hiking/Walking,0.403909539326674,15
43975,State Trail,Paved,Hiking/Walking,0.313753848120664,5
43976,Scott Pierson Trail,Paved,Hiking/Walking,0.0550118796096542,5
43977,Scott Pierson Trail,Paved,Hiking/Walking,0.246129826878228,10
43978,Path to Tacoma Community College,Paved,Hiking/Walking,0.226156704055187,13
43979,Scott Pierson Trail - Skyline Drive Bridge,Paved,Hiking/Walking,0.102779627348801,12
43980,Scott Pierson trail,Paved,Hiking/Walking,0.0844727275860828,15
43981,Scott Pierson Trail,Paved,Hiking/Walking,0.45003284394306,9
43982,Scott Pierson Trail,Paved,Hiking/Walking,0.221528607554397,15
43983,Scott Pierson Trail,Paved,Hiking/Walking,0.0862617418316824,15
43984,Scott Pierson Trail,Paved,Hiking/Walking,0.0625795494612448,10
43985,Scott Pierson Trail,Paved,Hiking/Walking,0.634341252146535,9
43986,Tacoma Narrows Trail,Paved,Hiking/Walking,0.28522056786022,10
43987,Scott Pierson Trail,Paved,Hiking/Walking,1.07773734758311,10
43988,Scott Pierson Trail,Paved,Hiking/Walking,1.93043690288346,14
43989,Scott Pierson Trail,Paved,Hiking/Walking,0.379822519770006,3
43990,I-5 Ped Bridge,Paved,Hiking/Walking,0.339893312323546,8
44267,Stanich Trail,Other,Hiking/Walking,0.282969454445551,8
44269,Grandview Forest Park,Other,Hiking/Walking,0.611069857208693,6
44270,Skate Park/City Hall,Other,Hiking/Walking,0.363205430076716,6
44271,Adam Tallman Park,Other,Hiking/Walking,0.903291815671584,8
44275,Soundview Forest Park,Other,Hiking/Walking,0.34818386495581,8
44276,Cushman Trail,Paved,Other/Multi,9.16401491593446,10
44277,Austin-Donkey Creek Connector,Other,Hiking/Walking,0.267869499355417,8
44674,Fennek Creek Trail,Paved,Hiking/Walking,0.675311754771765,10
44675,Safe Routes To School Trail,Paved,Hiking/Walking,0.262076149309616,10
44676,Safe Routes To School Trail,Paved,Hiking/Walking,0.0421046409320523,10
44677,Safe Routes To School Trail,Wood/Boardwalk,Hiking/Walking,0.0283560241468347,10
44678,Safe Routes To School Trail,Wood/Boardwalk,Hiking/Walking,0.0884643717083737,10
44679,Safe Routes To School Trail,Native/Dirt,Hiking/Walking,0.202473901814523,10
44680,95th St E Bypass Trail,Wood/Boardwalk,Hiking/Walking,0.114552100821864,10
44681,95th St E Bypass Trail,Paved,Hiking/Walking,0.147629586412674,10
44682,Fennel Creek Trail,Paved,Hiking/Walking,0.444351785777127,10
44683,Fennel Creek Trail,Wood/Boardwalk,Hiking/Walking,0.0450448195818071,10
44684,Fennel Creek Trail,Paved,Hiking/Walking,0.1160278380943,10
44685,Fennel Creek Trail,Wood/Boardwalk,Hiking/Walking,0.038591401627497,10
44686,Fennel Creek Trail,Paved,Hiking/Walking,0.0670552975466732,10
44687,Fennel Creek Trail,Wood/Boardwalk,Hiking/Walking,0.0121903006869893,10
44688,Fennel Creek Trail,Paved,Hiking/Walking,0.109664995856267,10
44689,Fennel Creek Trail,Wood/Boardwalk,Hiking/Walking,0.0124279971382351,10
44690,Fennel Creek Trail,Paved,Hiking/Walking,0.185757292641161,10
44691,Fennel Creek Trail,Wood/Boardwalk,Hiking/Walking,0.171834125365832,10
44692,Fennel Creek Trail,Paved,Hiking/Walking,0.161803981889925,10
44693,Fennel Creek Trail,Wood/Boardwalk,Hiking/Walking,0.137235540197213,10
44694,Fennel Creek Trail,Paved,Hiking/Walking,0.223203077001382,10
44695,Fennel Creek Trail,Paved,Hiking/Walking,0.0487120052998083,10
44696,Fennel Creek Trail,Paved,Hiking/Walking,0.113556553666403,10
44697,Fennel Creek Trail,Wood/Boardwalk,Hiking/Walking,0.0448820619504382,10
44698,95th St E Bypass Trail,Paved,Hiking/Walking,0.0503705344131602,6
44699,Willow Brook HOA Park Trail,Gravel/Crushed,Hiking/Walking,0.64258039923444,8
44700,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0132267638399328,8
44701,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.0217287906119303,8
44702,Midtown Park Trail,Native/Dirt,Hiking/Walking,0.109783972271632,8
