trail_name,segment_length_miles,trail_surface,primary_use,seasonality,directionality,pets_allowed,activities
Jungle Hill,5.26713356197219,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Lambert,2.52166514578738,Natural,Hiking,NA,NA,NA,Hiking/Walking
Stickpin,2.91892149855151,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Kettle Crest South,20.9970934306339,Natural,Hiking,All Year,NA,NA,Hiking/Walking
S.Huck2,3.38020160316167,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Leona Loop,2.24746794908953,Natural,Hiking,NA,NA,NA,Hiking/Walking
Profanity,2.30012039230255,Natural,Hiking,NA,NA,NA,Hiking/Walking
Timber Ridge,4.64746878657421,Natural,Hiking,NA,NA,NA,Hiking/Walking
Emerald Lake,0.904574096696796,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Taylor Ridge,20.5868630869658,Natural,Hiking,All Year,NA,NA,Hiking/Walking
South Huckleberry,7.88694299548776,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Deet Creek Summit South,4.82247823764995,Natural,Hiking,NA,NA,NA,Hiking/Walking
Maple Mountain,1.61445701239786,Natural,Hiking,NA,NA,NA,Hiking/Walking
Barnaby Buttes,3.72437575089548,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Wapaloosie,4.35527382870371,Natural,Hiking,NA,NA,NA,Hiking/Walking
U.S. Mountain,4.89184889824203,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Deer Creek Summit North,7.68520700354161,Natural,Hiking,NA,NA,NA,Hiking/Walking
Fish Lake,0.778787275787167,Natural,Hiking,NA,NA,NA,Hiking/Walking
Gibralter,17.858955344957,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Big Lick,6.42105674819853,Natural,Hiking,NA,NA,NA,Hiking/Walking
Ryan Cabin,2.33778842508716,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Bear Pot,1.16231860261675,Natural,Hiking,NA,NA,NA,Hiking/Walking
Edds Mountain,8.21291189543262,Natural,Hiking,NA,NA,NA,Hiking/Walking
Sherman Pass,6.56525565490047,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Sherman Peak Loop-XC,2.74423290510259,Snow,NA,NA,NA,NA,NA
Clackamas Mountain,0.421316725782488,NA,Hiking,NA,NA,NA,Hiking/Walking
Sherman Overlook,0.310236529931753,Imported Compacted Material,Hiking,All Year,NA,NA,Hiking/Walking
Barnaby Buttes,7.50531861613091,Natural,Hiking,NA,NA,NA,Hiking/Walking
Thompson Ridge,7.83852720935486,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Hunter Creek,4.93863866801929,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Log Flume,0.474357028863734,Asphalt,Hiking,All Year,NA,NA,Hiking/Walking
Davis Lakeshore,1.0477693995317101,Natural,Hiking,All Year,NA,NA,Hiking/Walking
Lewis and Clark,46.261044615,natural,NA,NA,Outband,NA,NA
Lewis and Clark,381.897956714,water,NA,NA,Outbound and Return,NA,NA
Lewis and Clark,163.96093664,natural,NA,NA,Return,NA,NA
Lewis and Clark,207.347107049,water,NA,NA,Outband,NA,NA
Lewis and Clark,7.06326545488,water,NA,NA,Outbound and Return,NA,NA
Lewis and Clark,31.7733166546,natural,NA,NA,Outband,NA,NA
Lewis and Clark,37.6056022816,water,NA,NA,Return,NA,NA
Lewis and Clark,39.2535741377,water,NA,NA,Outband,NA,NA
Lewis and Clark,54.8222319773,NA,NA,NA,Outbound and Return,NA,NA
